2017-03-22 09:22:37,851 [main] WARN  [com.jolbox.bonecp.BoneCPConfig] - Please use setIdleConnectionTestPeriodInMinutes in place of setIdleConnectionTestPeriod. This method has been deprecated.
2017-03-22 09:22:37,879 [main] WARN  [com.jolbox.bonecp.BoneCPConfig] - Please use setIdleMaxAgeInMinutes in place of setIdleMaxAge. This method has been deprecated.
2017-03-22 09:22:37,880 [main] WARN  [com.jolbox.bonecp.BoneCPConfig] - releaseHelperThreads has been deprecated -- it tends to slow down your application more.
2017-03-22 09:22:39,496 [main] INFO  [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] The service ready on spring started. service: com.papabear.product.api.CategoryCUDService, dubbo version: 2.5.3, current host: 127.0.0.1
2017-03-22 09:22:39,593 [main] INFO  [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] Export dubbo service com.papabear.product.api.CategoryCUDService to local registry, dubbo version: 2.5.3, current host: 127.0.0.1
2017-03-22 09:22:39,594 [main] INFO  [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] Export dubbo service com.papabear.product.api.CategoryCUDService to url dubbo://192.168.1.119:30880/com.papabear.product.api.CategoryCUDService?anyhost=true&application=papabear-product-service&dubbo=2.5.3&interface=com.papabear.product.api.CategoryCUDService&methods=updateCategoryModelFormat,saveCategory,updateStockById,updateCategoryModelExt,removeCategoryModelExt,insertCategoryModelExt,updateFormatPriceAndDic,saveCategoryModel,saveOrUpdateFormatId,updateCategoryModel&pid=3120&side=provider&timeout=1000&timestamp=1490145759516, dubbo version: 2.5.3, current host: 127.0.0.1
2017-03-22 09:22:39,594 [main] INFO  [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] Register dubbo service com.papabear.product.api.CategoryCUDService url dubbo://192.168.1.119:30880/com.papabear.product.api.CategoryCUDService?anyhost=true&application=papabear-product-service&dubbo=2.5.3&interface=com.papabear.product.api.CategoryCUDService&methods=updateCategoryModelFormat,saveCategory,updateStockById,updateCategoryModelExt,removeCategoryModelExt,insertCategoryModelExt,updateFormatPriceAndDic,saveCategoryModel,saveOrUpdateFormatId,updateCategoryModel&pid=3120&side=provider&timeout=1000&timestamp=1490145759516 to registry registry://224.5.6.12:2234/com.alibaba.dubbo.registry.RegistryService?application=papabear-product-service&dubbo=2.5.3&pid=3120&registry=multicast&timestamp=1490145759502, dubbo version: 2.5.3, current host: 127.0.0.1
2017-03-22 09:22:39,722 [main] INFO  [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] Start NettyServer bind /0.0.0.0:30880, export /192.168.1.119:30880, dubbo version: 2.5.3, current host: 127.0.0.1
